Num Etudiant,Type,Question,Attendue,Réponse,Temps,Erreur,Difficulté,Annotation
22,Addition, 5 + 9 = ?,14,8,60,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
22,Soustraction, 7 - 3 =?,4,2,40,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
22,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,13,42,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
23,Addition, 5 + 9 = ?,14,11,47,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
23,Soustraction, 7 - 3 =?,4,1,38,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
23,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,6,58,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
24,Addition, 5 + 9 = ?,14,8,34,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
24,Soustraction, 7 - 3 =?,4,14,41,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
24,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,48,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
25,Addition, 5 + 9 = ?,14,7,44,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
25,Soustraction, 7 - 3 =?,4,7,40,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
25,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,51,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
26,Addition, 5 + 9 = ?,14,4,54,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
26,Soustraction, 7 - 3 =?,4,5,42,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
26,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,13,34,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
27,Addition, 5 + 9 = ?,14,5,46,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
27,Soustraction, 7 - 3 =?,4,4,39,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
27,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,6,51,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
28,Addition, 5 + 9 = ?,14,1,39,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
28,Soustraction, 7 - 3 =?,4,11,41,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
28,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,10,39,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
29,Addition, 5 + 9 = ?,14,14,39,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
29,Soustraction, 7 - 3 =?,4,8,57,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
29,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,13,45,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
30,Addition, 5 + 9 = ?,14,15,38,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
30,Soustraction, 7 - 3 =?,4,7,35,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
30,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,5,54,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
31,Addition, 5 + 9 = ?,14,1,32,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
31,Soustraction, 7 - 3 =?,4,2,43,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
31,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,9,57,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
32,Addition, 5 + 9 = ?,14,5,50,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
32,Soustraction, 7 - 3 =?,4,13,38,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
32,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,46,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
33,Addition, 5 + 9 = ?,14,10,54,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
33,Soustraction, 7 - 3 =?,4,10,44,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
33,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,1,51,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
34,Addition, 5 + 9 = ?,14,5,60,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
34,Soustraction, 7 - 3 =?,4,2,41,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
34,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,5,35,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
35,Addition, 5 + 9 = ?,14,12,55,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
35,Soustraction, 7 - 3 =?,4,1,57,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
35,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,53,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
36,Addition, 5 + 9 = ?,14,12,48,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
36,Soustraction, 7 - 3 =?,4,5,31,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
36,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,10,49,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
37,Addition, 5 + 9 = ?,14,2,46,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
37,Soustraction, 7 - 3 =?,4,11,35,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
37,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,14,41,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
38,Addition, 5 + 9 = ?,14,13,33,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
38,Soustraction, 7 - 3 =?,4,10,36,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
38,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,36,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
39,Addition, 5 + 9 = ?,14,12,40,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
39,Soustraction, 7 - 3 =?,4,3,53,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
39,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,38,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
40,Addition, 5 + 9 = ?,14,13,41,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
40,Soustraction, 7 - 3 =?,4,4,59,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
40,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,36,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
41,Addition, 5 + 9 = ?,14,2,50,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
41,Soustraction, 7 - 3 =?,4,12,59,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
41,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,15,48,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
42,Addition, 5 + 9 = ?,14,5,47,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
42,Soustraction, 7 - 3 =?,4,12,39,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
42,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,2,60,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
43,Addition, 5 + 9 = ?,14,8,35,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
43,Soustraction, 7 - 3 =?,4,12,54,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
43,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,1,50,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
44,Addition, 5 + 9 = ?,14,12,30,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
44,Soustraction, 7 - 3 =?,4,10,60,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
44,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,4,31,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
45,Addition, 5 + 9 = ?,14,8,48,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
45,Soustraction, 7 - 3 =?,4,8,37,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
45,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,12,57,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
46,Addition, 5 + 9 = ?,14,14,41,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
46,Soustraction, 7 - 3 =?,4,13,40,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
46,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,13,45,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
47,Addition, 5 + 9 = ?,14,7,45,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
47,Soustraction, 7 - 3 =?,4,9,38,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
47,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,1,48,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
48,Addition, 5 + 9 = ?,14,4,30,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
48,Soustraction, 7 - 3 =?,4,6,59,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
48,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,12,31,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
49,Addition, 5 + 9 = ?,14,2,51,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
49,Soustraction, 7 - 3 =?,4,1,41,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
49,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,13,34,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
50,Addition, 5 + 9 = ?,14,14,50,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
50,Soustraction, 7 - 3 =?,4,8,51,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
50,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,56,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
51,Addition, 5 + 9 = ?,14,14,58,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
51,Soustraction, 7 - 3 =?,4,12,46,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
51,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,48,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
52,Addition, 5 + 9 = ?,14,8,40,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
52,Soustraction, 7 - 3 =?,4,9,58,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
52,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,42,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
53,Addition, 5 + 9 = ?,14,13,39,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
53,Soustraction, 7 - 3 =?,4,9,46,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
53,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,15,56,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
54,Addition, 5 + 9 = ?,14,6,34,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
54,Soustraction, 7 - 3 =?,4,13,57,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
54,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,15,59,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
55,Addition, 5 + 9 = ?,14,8,46,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
55,Soustraction, 7 - 3 =?,4,4,35,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
55,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,3,30,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
56,Addition, 5 + 9 = ?,14,2,40,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
56,Soustraction, 7 - 3 =?,4,6,54,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
56,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,10,30,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
57,Addition, 5 + 9 = ?,14,11,47,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
57,Soustraction, 7 - 3 =?,4,6,56,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
57,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,14,31,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
58,Addition, 5 + 9 = ?,14,6,54,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
58,Soustraction, 7 - 3 =?,4,13,35,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
58,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,4,52,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
59,Addition, 5 + 9 = ?,14,4,50,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
59,Soustraction, 7 - 3 =?,4,5,36,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
59,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,9,57,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
60,Addition, 5 + 9 = ?,14,14,59,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
60,Soustraction, 7 - 3 =?,4,15,59,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
60,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,6,52,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
61,Addition, 5 + 9 = ?,14,15,32,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
61,Soustraction, 7 - 3 =?,4,1,35,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
61,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,6,57,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
62,Addition, 5 + 9 = ?,14,15,30,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
62,Soustraction, 7 - 3 =?,4,11,48,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
62,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,2,54,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
63,Addition, 5 + 9 = ?,14,9,50,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
63,Soustraction, 7 - 3 =?,4,6,37,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
63,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,12,38,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
64,Addition, 5 + 9 = ?,14,2,55,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
64,Soustraction, 7 - 3 =?,4,11,47,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
64,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,34,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
65,Addition, 5 + 9 = ?,14,1,49,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
